measured_on,poa_irradiance_o_149574
2024-03-07 01:05:00,0.0
2024-03-07 01:10:00,0.0
2024-03-07 01:15:00,0.0
2024-03-07 01:20:00,0.0
2024-03-07 01:40:00,0.0
2024-03-07 01:50:00,0.0
2024-03-07 02:05:00,0.0
2024-03-07 02:10:00,0.0
2024-03-07 02:15:00,0.0
2024-03-07 02:20:00,0.0
2024-03-07 02:30:00,0.0
2024-03-07 02:35:00,0.0
2024-03-07 02:40:00,0.0
2024-03-07 02:55:00,0.0
2024-03-07 03:15:00,0.0
2024-03-07 03:30:00,0.0
2024-03-07 03:35:00,0.0
2024-03-07 03:40:00,0.0
2024-03-07 03:45:00,0.0
2024-03-07 03:50:00,0.0
2024-03-07 04:05:00,0.0
2024-03-07 04:10:00,0.0
2024-03-07 04:20:00,0.0
2024-03-07 04:25:00,0.0
2024-03-07 04:30:00,0.0
2024-03-07 04:40:00,0.0
2024-03-07 04:45:00,0.0
2024-03-07 04:50:00,0.0
2024-03-07 04:55:00,0.0
2024-03-07 05:00:00,0.0
2024-03-07 05:05:00,0.0
2024-03-07 05:25:00,0.0
2024-03-07 05:40:00,0.0
2024-03-07 05:45:00,0.0
2024-03-07 06:00:00,0.0
2024-03-07 06:05:00,0.0
2024-03-07 06:10:00,0.0
2024-03-07 06:15:00,0.0
2024-03-07 06:25:00,1.1
2024-03-07 06:30:00,3.2
2024-03-07 06:35:00,6.2
2024-03-07 06:40:00,9.6
2024-03-07 06:45:00,14.2
2024-03-07 06:50:00,19.4
2024-03-07 06:55:00,27.5
2024-03-07 07:00:00,34.4
2024-03-07 07:05:00,41.4
2024-03-07 07:10:00,43.7
2024-03-07 07:15:00,46.6
2024-03-07 07:20:00,65.7
2024-03-07 07:25:00,47.1
2024-03-07 07:30:00,100.5
2024-03-07 07:35:00,109.1
2024-03-07 07:40:00,164.7
2024-03-07 07:45:00,223.8
2024-03-07 07:50:00,250.3
2024-03-07 07:55:00,268.6
2024-03-07 08:00:00,299.1
2024-03-07 08:05:00,312.8
2024-03-07 08:10:00,329.1
2024-03-07 08:15:00,350.2
2024-03-07 08:20:00,372.3
2024-03-07 08:25:00,395.4
2024-03-07 08:30:00,416.7
2024-03-07 08:35:00,438.5
2024-03-07 08:40:00,461.9
2024-03-07 08:45:00,483.6
2024-03-07 08:50:00,505.7
2024-03-07 08:55:00,526.0
2024-03-07 09:00:00,544.8
2024-03-07 09:05:00,564.7
2024-03-07 09:10:00,583.3
2024-03-07 09:15:00,602.3
2024-03-07 09:20:00,619.4
2024-03-07 09:25:00,637.3
2024-03-07 09:30:00,654.7
2024-03-07 09:35:00,673.7
2024-03-07 09:40:00,688.1
2024-03-07 09:45:00,704.6
2024-03-07 09:50:00,719.4
2024-03-07 09:55:00,737.4
2024-03-07 10:00:00,755.7999999999998
2024-03-07 10:05:00,770.7999999999998
2024-03-07 10:10:00,786.2999999999998
2024-03-07 10:15:00,798.5
2024-03-07 10:20:00,811.9
2024-03-07 10:25:00,820.9
2024-03-07 10:30:00,832.5
2024-03-07 10:35:00,843.7
2024-03-07 10:40:00,858.2
2024-03-07 10:45:00,870.0
2024-03-07 10:50:00,881.1
2024-03-07 10:55:00,891.2999999999998
2024-03-07 11:00:00,903.6
2024-03-07 11:05:00,914.3
2024-03-07 11:10:00,923.5
2024-03-07 11:15:00,932.5
2024-03-07 11:20:00,939.5
2024-03-07 11:25:00,944.5
2024-03-07 11:30:00,952.3
2024-03-07 11:35:00,959.0
2024-03-07 11:40:00,965.8
2024-03-07 11:45:00,971.1
2024-03-07 11:50:00,978.8
2024-03-07 11:55:00,981.0
2024-03-07 12:00:00,982.9
2024-03-07 12:05:00,987.7
2024-03-07 12:10:00,991.1
2024-03-07 12:15:00,995.6
2024-03-07 12:20:00,997.2
2024-03-07 12:25:00,1000.1
2024-03-07 12:30:00,998.0
2024-03-07 12:35:00,997.9
2024-03-07 12:40:00,993.1
2024-03-07 12:45:00,992.4
2024-03-07 12:50:00,988.9
2024-03-07 12:55:00,987.0
2024-03-07 13:00:00,984.9
2024-03-07 13:05:00,981.3
2024-03-07 13:10:00,976.1
2024-03-07 13:15:00,970.9
2024-03-07 13:20:00,965.3
2024-03-07 13:25:00,954.7
2024-03-07 13:30:00,950.2
2024-03-07 13:35:00,939.6
2024-03-07 13:40:00,931.8
2024-03-07 13:45:00,924.6
2024-03-07 13:50:00,916.6
2024-03-07 13:55:00,906.3
2024-03-07 14:00:00,895.2
2024-03-07 14:05:00,880.7999999999998
2024-03-07 14:10:00,871.6
2024-03-07 14:15:00,857.6
2024-03-07 14:20:00,846.5
2024-03-07 14:25:00,838.2999999999998
2024-03-07 14:30:00,824.7999999999998
2024-03-07 14:35:00,810.2999999999998
2024-03-07 14:40:00,795.2
2024-03-07 14:45:00,782.9
2024-03-07 14:50:00,768.9
2024-03-07 14:55:00,752.7999999999998
2024-03-07 15:00:00,734.1
2024-03-07 15:05:00,721.1
2024-03-07 15:10:00,708.3
2024-03-07 15:15:00,690.8
2024-03-07 15:20:00,673.6
2024-03-07 15:25:00,652.2
2024-03-07 15:30:00,630.2
2024-03-07 15:35:00,609.7
2024-03-07 15:40:00,591.3
2024-03-07 15:45:00,569.7
2024-03-07 15:50:00,550.4
2024-03-07 15:55:00,530.3
2024-03-07 16:00:00,511.1
2024-03-07 16:05:00,487.0
2024-03-07 16:10:00,464.8
2024-03-07 16:15:00,444.8
2024-03-07 16:20:00,423.4
2024-03-07 16:25:00,400.6
2024-03-07 16:30:00,378.0
2024-03-07 16:35:00,352.7
2024-03-07 16:40:00,329.9
2024-03-07 16:45:00,307.8
2024-03-07 16:50:00,285.0
2024-03-07 16:55:00,261.8
2024-03-07 17:00:00,240.1
2024-03-07 17:05:00,219.2
2024-03-07 17:10:00,194.3
2024-03-07 17:15:00,169.2
2024-03-07 17:20:00,144.5
2024-03-07 17:25:00,121.2
2024-03-07 17:30:00,95.9
2024-03-07 17:35:00,76.7
2024-03-07 17:40:00,58.3
2024-03-07 17:45:00,42.6
2024-03-07 17:50:00,29.3
2024-03-07 17:55:00,15.5
2024-03-07 18:00:00,9.6
2024-03-07 18:05:00,4.9
2024-03-07 18:10:00,1.6
2024-03-07 18:15:00,0.0
2024-03-07 18:20:00,0.0
2024-03-07 18:25:00,0.0
2024-03-07 18:30:00,0.0
2024-03-07 18:35:00,0.0
2024-03-07 18:40:00,0.0
2024-03-07 18:45:00,0.0
2024-03-07 18:50:00,0.0
2024-03-07 18:55:00,0.0
2024-03-07 19:00:00,0.0
2024-03-07 19:15:00,0.0
2024-03-07 19:20:00,0.0
2024-03-07 19:25:00,0.0
2024-03-07 19:30:00,0.0
2024-03-07 19:35:00,0.0
2024-03-07 19:40:00,0.0
2024-03-07 20:00:00,0.0
2024-03-07 20:10:00,0.0
2024-03-07 20:15:00,0.0
2024-03-07 20:20:00,0.0
2024-03-07 20:25:00,0.0
2024-03-07 20:30:00,0.0
2024-03-07 20:45:00,0.0
2024-03-07 21:00:00,0.0
2024-03-07 21:05:00,0.0
2024-03-07 21:10:00,0.0
2024-03-07 21:15:00,0.0
2024-03-07 21:25:00,0.0
2024-03-07 21:40:00,0.0
2024-03-07 21:45:00,0.0
2024-03-07 21:55:00,0.0
2024-03-07 22:15:00,0.0
2024-03-07 22:20:00,0.0
2024-03-07 22:25:00,0.0
2024-03-07 22:40:00,0.0
2024-03-07 22:55:00,0.0
2024-03-07 23:00:00,0.0
2024-03-07 23:10:00,0.0
2024-03-07 23:25:00,0.0
2024-03-07 23:30:00,0.0
2024-03-07 23:35:00,0.0
2024-03-07 23:55:00,0.0
2024-03-08 00:00:00,0.0
2024-03-08 00:10:00,0.0
2024-03-08 00:20:00,0.0
2024-03-08 00:25:00,0.0
2024-03-08 00:45:00,0.0
2024-03-08 00:50:00,0.0
2024-03-08 01:00:00,0.0
2024-03-08 01:15:00,0.0
2024-03-08 01:20:00,0.0
2024-03-08 01:30:00,0.0
2024-03-08 01:45:00,0.0
2024-03-08 01:50:00,0.0
2024-03-08 01:55:00,0.0
2024-03-08 02:00:00,0.0
2024-03-08 02:10:00,0.0
2024-03-08 02:25:00,0.0
2024-03-08 02:30:00,0.0
2024-03-08 02:45:00,0.0
2024-03-08 02:50:00,0.0
2024-03-08 02:55:00,0.0
2024-03-08 03:00:00,0.0
2024-03-08 03:15:00,0.0
2024-03-08 03:30:00,0.0
2024-03-08 03:40:00,0.0
2024-03-08 03:45:00,0.0
2024-03-08 03:50:00,0.0
2024-03-08 04:00:00,0.0
2024-03-08 04:05:00,0.0
2024-03-08 04:15:00,0.0
2024-03-08 04:30:00,0.0
2024-03-08 04:35:00,0.0
2024-03-08 04:40:00,0.0
2024-03-08 04:50:00,0.0
2024-03-08 04:55:00,0.0
2024-03-08 05:00:00,0.0
2024-03-08 05:15:00,0.0
2024-03-08 05:20:00,0.0
2024-03-08 05:25:00,0.0
2024-03-08 05:30:00,0.0
2024-03-08 05:35:00,0.0
2024-03-08 05:40:00,0.0
2024-03-08 05:45:00,0.0
2024-03-08 06:05:00,0.0
2024-03-08 06:10:00,0.0
2024-03-08 06:20:00,0.0
2024-03-08 06:25:00,0.0
2024-03-08 06:30:00,1.8
2024-03-08 06:35:00,5.1
2024-03-08 06:40:00,9.7
2024-03-08 06:45:00,14.3
2024-03-08 06:50:00,19.3
2024-03-08 06:55:00,24.3
2024-03-08 07:00:00,29.2
2024-03-08 07:05:00,33.9
2024-03-08 07:10:00,39.8
2024-03-08 07:15:00,57.3
2024-03-08 07:20:00,89.29999999999998
2024-03-08 07:25:00,94.7
2024-03-08 07:30:00,97.3
2024-03-08 07:35:00,110.4
2024-03-08 07:40:00,160.7
2024-03-08 07:45:00,200.0
2024-03-08 07:50:00,221.7
2024-03-08 07:55:00,243.3
