event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
244,1,2019-04-16 15:40,2019-04-16 15:55,20,0.1393,0.0,0.0975,0.05,-0.03
245,1,2019-04-16 19:40,2019-04-16 19:50,15,0.0525,0.0,0.0368,0.05,-0.03
246,1,2019-04-17 14:40,2019-04-17 15:20,45,0.7878,0.0,0.5515,0.05,-0.03
247,1,2019-04-18 11:40,2019-04-18 11:55,20,0.8032,0.0,0.5622,0.05,-0.03
248,1,2019-04-18 12:50,2019-04-18 13:00,15,0.8411,0.0,0.5888,0.05,-0.03
249,1,2019-04-18 13:35,2019-04-18 14:25,55,0.8363,0.0,0.5854,0.05,-0.03
250,1,2019-04-18 15:30,2019-04-18 15:50,25,0.6511,0.0,0.4558,0.05,-0.03
251,1,2019-04-20 08:45,2019-04-20 09:45,65,0.2785,0.0,0.195,0.05,-0.03
252,1,2019-04-20 11:30,2019-04-20 11:40,15,0.8126,0.0,0.5688,0.05,-0.03
253,1,2019-04-20 17:00,2019-04-20 18:05,70,0.3078,0.0,0.2155,0.05,-0.03
254,1,2019-04-21 05:55,2019-04-21 07:15,85,0.1149,0.0,0.0804,0.05,-0.03
255,1,2019-04-21 10:35,2019-04-21 15:10,280,0.6201,0.0,0.4341,0.05,-0.03
256,1,2019-04-21 18:25,2019-04-21 18:35,15,0.0504,0.0,0.0353,0.05,-0.03
257,1,2019-04-24 11:35,2019-04-24 11:45,15,0.8305,0.0,0.5813,0.05,-0.03
258,1,2019-04-25 10:30,2019-04-25 10:40,15,0.7496,0.0,0.5247,0.05,-0.03
259,1,2019-04-28 05:55,2019-04-28 06:25,35,0.0816,0.0,0.0571,0.05,-0.03
260,1,2019-04-28 07:30,2019-04-28 08:15,50,0.1158,0.0,0.0811,0.05,-0.03
261,1,2019-04-28 08:50,2019-04-28 09:00,15,0.0916,0.0,0.0641,0.05,-0.03
262,1,2019-04-28 11:50,2019-04-28 13:55,130,0.8013,0.0,0.5609,0.05,-0.03
263,1,2019-04-28 17:25,2019-04-28 18:30,70,0.3589,0.0,0.2512,0.05,-0.03
264,1,2019-04-28 19:55,2019-04-28 20:10,20,0.0763,0.0,0.0534,0.05,-0.03
265,1,2019-04-30 05:50,2019-04-30 07:10,85,0.3236,0.0,0.2265,0.05,-0.03
266,1,2019-04-30 08:00,2019-04-30 08:35,40,0.1706,0.0,0.1194,0.05,-0.03
